,Brand,Product Name,Price(₹),Availability,Expected Delivery,Return Policy,Exchange,Product Url
0,AmazonBasics,AmazonBasics 81 cm (32 inches) HD Ready Smart LED Fire TV AB32E10SS (Black),"13,999",Available," Wed, 3 Aug, 7:00 am - 9:00 pm",10 Days Replacement,"Yes, Upto Rs.2,050.00 off",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01977278K310J9TKXPX&url=%2FAmazonBasics-80cm-inch-Smart-LED%2Fdp%2FB087JX4TT4%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DTV%26qid%3D1659374043%26sr%3D8-1-spons%26psc%3D1&qualifier=1659374043&id=3383819219083602&widgetName=sp_atf
1,TCL,TCL 100 cm (40 inches) Full HD Certified Android R Smart LED TV 40S6505 (Black),"19,990",Available," Wed, 3 Aug, 7:00 am - 9:00 pm",10 Days Replacement,"Yes, Upto Rs.2,050.00 off",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A078875315SFACBXU83KR&url=%2FTCL-inches-Certified-Android-40S6505%2Fdp%2FB09T3KB6JZ%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DTV%26qid%3D1659374043%26sr%3D8-2-spons%26psc%3D1&qualifier=1659374043&id=3383819219083602&widgetName=sp_atf
2,OnePlus,OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black),"14,999",Available," Wed, 3 Aug, 7:00 am - 9:00 pm",10 Days Replacement,"Yes, Upto Rs.2,050.00 off",https://www.amazon.in/OnePlus-inches-Ready-Android-32Y1/dp/B08B42LWKN/ref=sr_1_3?keywords=TV&qid=1659374043&sr=8-3
3,Redmi,Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black),"14,999",Available," Wed, 3 Aug, 7:00 am - 9:00 pm",10 Days Replacement,"Yes, Upto Rs.2,050.00 off",https://www.amazon.in/Redmi-inches-Ready-L32M6-RA-Android/dp/B09F9YQQ7B/ref=sr_1_4?keywords=TV&qid=1659374043&sr=8-4
4,Mi,Mi 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),"15,499",Available," Wed, 3 Aug, 7:00 am - 9:00 pm",10 Days Replacement,"Yes, Upto Rs.2,050.00 off",https://www.amazon.in/inches-Ready-Smart-Android-L32M7-5AIN/dp/B0B6F7LX4C/ref=sr_1_5?keywords=TV&qid=1659374043&sr=8-5
5,OnePlus,OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),"29,999",Available," Wed, 3 Aug, 7:00 am - 9:00 pm",10 Days Replacement,"Yes, Upto Rs.2,050.00 off",https://www.amazon.in/OnePlus-43-inches-Android-Pro/dp/B09VCHLSJF/ref=sr_1_6?keywords=TV&qid=1659374043&sr=8-6
6,VW,VW 80 cm (32 inches) Playwall Frameless Series HD Ready Smart LED TV VW3251 (Black),"8,499",Only 1 left in stock.,,10 Days Replacement,Not Applicable,https://www.amazon.in/VW-inches-Playwall-Frameless-VW3251/dp/B0B16KD737/ref=sr_1_7?keywords=TV&qid=1659374043&sr=8-7
7,OnePlus,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black),"22,999",Available," Wed, 3 Aug, 7:00 am - 9:00 pm",10 Days Replacement,"Yes, Upto Rs.2,050.00 off",https://www.amazon.in/OnePlus-inches-Smart-Android-43Y1/dp/B08B42HNH7/ref=sr_1_8?keywords=TV&qid=1659374043&sr=8-8
8,Redmi,Redmi 126 cm (50 inches) 4K Ultra HD Android Smart LED TV X50 | L50M6-RA (Black),"34,999",Available," Wed, 3 Aug, 7:00 am - 9:00 pm",10 Days Replacement,"Yes, Upto Rs.2,050.00 off",https://www.amazon.in/Redmi-inches-Ultra-Android-L50M6-RA/dp/B08Y55LPBF/ref=sr_1_9?keywords=TV&qid=1659374043&sr=8-9
9,VW,VW 100 cm (40 inches) HD Ready Smart LED TV VW40S (Black) (2021 Model),"13,999",Available," Wed, 3 Aug, 7:00 am - 9:00 pm",10 Days Replacement,"Yes, Upto Rs.2,050.00 off",https://www.amazon.in/Visio-World-inches-VW40S-Smart/dp/B07MH2JGV2/ref=sr_1_10?keywords=TV&qid=1659374043&sr=8-10
