,Brand,Product Name,Price(₹),Availability,Expected Delivery,Return Policy,Exchange,Product Url
0,Mayor,"Mayor Rapid Basketball Size 7, PU Pasted & Rubber Basket Ball for Indoor Outdoor Training Learner Basketballs (Brown)",499,Available," Monday, August 8",10 Days Returnable,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09867192WF35PM8N1LKX&url=%2FMayor-Rapid-Outdoor-Rubber-Basketball%2Fdp%2FB07HKQGY34%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3W37RA71F8QY4%26keywords%3Dbasketball%26qid%3D1659373203%26sprefix%3Dbasketball%252Caps%252C1192%26sr%3D8-1-spons%26psc%3D1&qualifier=1659373203&id=6375710591678143&widgetName=sp_atf
1,Nike,"Nike BS3009-855 Rubber Basketball, Size 7, (Orange, Black, Metal Silver)","1,180",Available," Sunday, August 7",10 Days Replacement,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02084203JIJU5YOMVIE5&url=%2FNike-Baller-Basketball-Ball-Size%2Fdp%2FB07GBFN4V7%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3W37RA71F8QY4%26keywords%3Dbasketball%26qid%3D1659373203%26sprefix%3Dbasketball%252Caps%252C1192%26sr%3D8-2-spons%26psc%3D1%26smid%3DAHXTPWY14UPXE&qualifier=1659373203&id=6375710591678143&widgetName=sp_atf
2,Amazon,"Amazon Brand - Solimo Training Basketball, 8 Panel",449,Available," Saturday, August 6",10 Days Replacement,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01989552GI4TCJ6L4IL1&url=%2FAmazon-Brand-Solimo-Training-Basketball%2Fdp%2FB082L85TF8%2Fref%3Dsr_1_3_sspa%3Fcrid%3D3W37RA71F8QY4%26keywords%3Dbasketball%26qid%3D1659373203%26sprefix%3Dbasketball%252Caps%252C1192%26sr%3D8-3-spons%26psc%3D1&qualifier=1659373203&id=6375710591678143&widgetName=sp_atf
3,TOY-STATION,TOY-STATION FRATELLI - I Zoom - Basketball,349,Available," Tuesday, August 9",10 Days Replacement,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05168851U1CZKM3AKJ62&url=%2FTOY-STATION-Rubber-Basketball-Size-Multicolour%2Fdp%2FB07B2MD495%2Fref%3Dsr_1_4_sspa%3Fcrid%3D3W37RA71F8QY4%26keywords%3Dbasketball%26qid%3D1659373203%26sprefix%3Dbasketball%252Caps%252C1192%26sr%3D8-4-spons%26psc%3D1&qualifier=1659373203&id=6375710591678143&widgetName=sp_atf
4,Nivia,Nivia Graffiti Basketball - Size: 7,745,Available," Monday, August 8",10 Days Replacement,Not Applicable,https://www.amazon.in/Nivia-1951BY-Rubber-Graffiti-Basketball/dp/B07S1T44NW/ref=sr_1_5?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-5
5,M,M S Ahmad Plastic Balls Multicolor Kids Playing,"1,599",Available," Tuesday, August 9",10 Days Returnable,Not Applicable,https://www.amazon.in/Ahmad-Plastic-Balls-Multicolor-Playing/dp/B0B86L4N2T/ref=sr_1_omk_6?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-6
6,Spalding,"Spalding Rebound Rubber Basketball (Color: Brick Brown, Size: 7) (NBA Rebound)",779,Available," Monday, August 8",10 Days Replacement,Not Applicable,https://www.amazon.in/Spalding-NBA-Rebound-Basketball-Size-7/dp/B00I99K8Q0/ref=sr_1_7?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-7
7,Spalding,"Spalding Rebound Rubber Basketball (Color: Brick Brown, Size: 7) (NBA Rebound)",779,Available,"Monday, August 8",10 Days Replacement,Not Applicable,https://www.amazon.in/Spalding-NBA-Rebound-Basketball-Size-7/dp/B00I99K8Q0/ref=sxin_15?asc_contentid=amzn1.osa.a1d176fa-38a8-436c-b7f2-822a63234372.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.a1d176fa-38a8-436c-b7f2-822a63234372.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.5f0ba99d-2991-4ecb-ae3e-35a7ecd2eb9d%3Aamzn1.sym.5f0ba99d-2991-4ecb-ae3e-35a7ecd2eb9d&creativeASIN=B00I99K8Q0&crid=3W37RA71F8QY4&cv_ct_cx=basketball&cv_ct_id=amzn1.osa.a1d176fa-38a8-436c-b7f2-822a63234372.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=basketball&linkCode=oas&pd_rd_i=B00I99K8Q0&pd_rd_r=fe3ac638-4128-4322-bbe5-f35ecb905c47&pd_rd_w=sWUZf&pd_rd_wg=OWKzf&pf_rd_p=5f0ba99d-2991-4ecb-ae3e-35a7ecd2eb9d&pf_rd_r=006HF3T85QX59FDP757K&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=1-1-7188e7bb-a7a6-440c-95b3-a03604035cdc&tag=hznew-21
8,Nivia,Nivia Engraver Basketball,705,Available,August 5 - 8,10 Days Replacement,Not Applicable,https://www.amazon.in/Nivia-BB-201-Engraver-Basketball/dp/B00FEKT4OO/ref=sxin_15?asc_contentid=amzn1.osa.a1d176fa-38a8-436c-b7f2-822a63234372.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.a1d176fa-38a8-436c-b7f2-822a63234372.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.5f0ba99d-2991-4ecb-ae3e-35a7ecd2eb9d%3Aamzn1.sym.5f0ba99d-2991-4ecb-ae3e-35a7ecd2eb9d&creativeASIN=B00FEKT4OO&crid=3W37RA71F8QY4&cv_ct_cx=basketball&cv_ct_id=amzn1.osa.a1d176fa-38a8-436c-b7f2-822a63234372.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&keywords=basketball&linkCode=oas&pd_rd_i=B00FEKT4OO&pd_rd_r=fe3ac638-4128-4322-bbe5-f35ecb905c47&pd_rd_w=sWUZf&pd_rd_wg=OWKzf&pf_rd_p=5f0ba99d-2991-4ecb-ae3e-35a7ecd2eb9d&pf_rd_r=006HF3T85QX59FDP757K&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=1-2-7188e7bb-a7a6-440c-95b3-a03604035cdc&tag=hznew-21
9,Strauss,"Strauss Rubber Official Basketball, Size - 7 | PU Pasted & Rebound Rubber Basket Ball for Indoor Outdoor Training Learner Basketballs, (Orange)",388,Available," tomorrow, August 2",10 Days Replacement,Not Applicable,https://www.amazon.in/Strauss-Official-Basketball-Size-Orange/dp/B082KQDWK3/ref=sr_1_8?crid=3W37RA71F8QY4&keywords=basketball&qid=1659373203&sprefix=basketball%2Caps%2C1192&sr=8-8
