,Brand,Product Name,Price(₹),Availability,Expected Delivery,Return Policy,Exchange,Product Url
0,Lenovo,"Lenovo IdeaCentre 3 Desktop (12th Gen Intel Core i3-12100/16GB/512GB SSD/Windows 11/MS Office 2021/Integrated UHD Graphics 730/WiFi 6/Bluetooth 5.2/Mineral Grey), 90SM009SIN","40,990",Available," Thursday, August 4",7 Days Replacement,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0655124CF41GK7XPMWL&url=%2FLenovo-IdeaCentre-Integrated-Bluetooth-90SM009SIN%2Fdp%2FB0B5XV6C83%2Fref%3Dsr_1_1_sspa%3Fcrid%3DFL13G98MPJ90%26keywords%3Ddesktops%26qid%3D1659216137%26sprefix%3D%252Caps%252C249%26sr%3D8-1-spons%26psc%3D1&qualifier=1659216137&id=2455735797833718&widgetName=sp_atf
1,Lenovo,"Lenovo IdeaCentre 3 Desktop (AMD Ryzen 5 3500U/8GB/256GB SSD/Windows 11/MS Office 2021/Integrated AMD Radeon Vega 8 Graphics/WiFi 5/Bluetooth 5.0/Mineral Grey), 90MV00MVIN","36,990",Available," Saturday, August 6",7 Days Replacement,Not Available at your location,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06552241GVAFC80VMRML&url=%2FLenovo-IdeaCentre-Integrated-Bluetooth-90MV00MVIN%2Fdp%2FB0B5XYKJWQ%2Fref%3Dsr_1_2_sspa%3Fcrid%3DFL13G98MPJ90%26keywords%3Ddesktops%26qid%3D1659216137%26sprefix%3D%252Caps%252C249%26sr%3D8-2-spons%26psc%3D1&qualifier=1659216137&id=2455735797833718&widgetName=sp_atf
2,(Renewed),(Renewed) Lenovo ThinkCentre Desktop Computer PC (Intel Core i5 2400/ 8 GB RAM/ 1 TB HDD + 128 GB SSD/ Windows 10 Pro/ MS Office/ Intel HD Graphics/ USB/ Ethernet/WiFi),"15,289",Available," Monday, August 8",7 Days Replacement,Not Applicable,https://www.amazon.in/Lenovo-ThinkCentre-Computer-Graphics-Ethernet/dp/B09V88C6VH/ref=sr_1_3?crid=FL13G98MPJ90&keywords=desktops&qid=1659216137&sprefix=%2Caps%2C249&sr=8-3
3,(Renewed),"(Renewed) Dell Optiplex Business Class Performance Desktop (Core I5 3470 3.2 Ghz, 8 GB RAM, 500 GB HDD, Windows 10 Pro, MS Office|Intel HD Graphics|USB, Ethernet,VGA|PAN India Warranty), Black","12,948",Available," Monday, August 8",7 Days Replacement,Not Applicable,https://www.amazon.in/Dell-Optiplex-Business-Performance-Graphics/dp/B097ZMH24V/ref=sr_1_4?crid=FL13G98MPJ90&keywords=desktops&qid=1659216137&sprefix=%2Caps%2C249&sr=8-4
4,(Renewed),"(Renewed) Lenovo ThinkCentre M92p Desktop (Core i5-2400/8 GB/500 GB HDD/Windows/MS Office/Intel HD Graphics 2000), Black","11,288",Available," Sunday, August 7",7 Days Replacement,Not Applicable,https://www.amazon.in/Lenovo-ThinkCentre-M92p-Graphics-Ethernet/dp/B07VPL4YJ7/ref=sr_1_5?crid=FL13G98MPJ90&keywords=desktops&qid=1659216137&sprefix=%2Caps%2C249&sr=8-5
5,(Renewed),"(Renewed) Lenovo 19 Inch All In One Desktop set (Core i5 4th Gen/8 GB/500 GB Tiny CPU//19"" Monitor+Keyboard+Mouse+ FHD Webcam+Mic+Speakers+Wifi/Warranty/Windows 10/MS Office 360)","22,400",Available," Monday, August 8",7 Days Replacement,Not Applicable,https://www.amazon.in/Renewed-Lenovo-Keyboard-Speakers-Warranty/dp/B08F7Y8BMF/ref=sr_1_6?crid=FL13G98MPJ90&keywords=desktops&qid=1659216137&sprefix=%2Caps%2C249&sr=8-6
6,(Renewed),(Renewed) Lenovo ThinkCenter 17 inch (43.18 cm) All in One Desktop Set (Intel i3 2120/ 8 GB/ 1 TB HDD /17 inches HD Monitor+Keyboard+Mouse+ HD Webcam+Mic+Speakers+Wifi)/Windows 10 Pro/MS Office,"18,499",Available," Sunday, August 7",7 Days Replacement,Not Applicable,https://www.amazon.in/Renewed-Lenovo-ThinkCenter-Keyboard-Speakers/dp/B096SKF9XZ/ref=sr_1_7?crid=FL13G98MPJ90&keywords=desktops&qid=1659216137&sprefix=%2Caps%2C249&sr=8-7
7,(Renewed),"(Renewed) DELL OPTIPLEX 3040 Tiny Desktop (Core I3 6th gen 3.2ghz, 8 GB RAM, 240gb SSD, Win 11 (Upgraded), MS Office/ Intel HD Graphics/, USB 3.0, Ethernet,VGA), Black","12,924",Available," Monday, August 8",7 Days Replacement,Not Applicable,https://www.amazon.in/Renewed-OPTIPLEX-Upgraded-Graphics-Ethernet/dp/B09RF4GQQR/ref=sr_1_8?crid=FL13G98MPJ90&keywords=desktops&qid=1659216137&sprefix=%2Caps%2C249&sr=8-8
8,Lenovo,"Lenovo IdeaCentre AIO 3 11th Gen Intel i3 23.8"" FHD IPS 3-Side Edgeless All-in-One Desktop with Alexa Built-in (8GB/512GB SSD/Win11/MS Office 2021/HD 720p Camera/Wireless Keyboard & Mouse) F0G0012HIN","46,990",Available," Sunday, August 7",7 Days Replacement,Not Applicable,https://www.amazon.in/Lenovo-IdeaCentre-Edgeless-Wireless-F0G0012HIN/dp/B09ZYJZV3P/ref=sr_1_9?crid=FL13G98MPJ90&keywords=desktops&qid=1659216137&sprefix=%2Caps%2C249&sr=8-9
9,HP,"HP All-in-One AMD Ryzen 3-3250U 22-inch(54.6 cm) FHD Desktop(4GB/1TB HDD/Win 11/MS Office 2019/AMD Radeon Graphics), 22-dd0201in, Jet Black","37,990",Available," Thursday, August 4",7 Days Replacement,Not Applicable,https://www.amazon.in/HP-Desktop-3-3250U-Graphics-22-dd0201in/dp/B08H2CYVMD/ref=sr_1_10?crid=FL13G98MPJ90&keywords=desktops&qid=1659216137&sprefix=%2Caps%2C249&sr=8-10
10,Goshawk,Goshawk Impact Desktop PC with Intel Core i3 10th Generation/8GB DDR4 RAM/120GB SSD Boot Drive/1TB Storage/Wi-Fi 300MBps and Windows 11 Home,"42,499",Only 2 left in stock.," Monday, August 8",7 Days Replacement,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00873001UWBQSSQ2FA6U&url=%2FGoshawk-Desktop-Generation-Storage-300MBps%2Fdp%2FB0B4KND3JZ%2Fref%3Dsr_1_11_sspa%3Fcrid%3DFL13G98MPJ90%26keywords%3Ddesktops%26qid%3D1659216137%26sprefix%3D%252Caps%252C249%26sr%3D8-11-spons%26psc%3D1&qualifier=1659216137&id=2455735797833718&widgetName=sp_mtf
11,Goshawk,Goshawk Renaissance Desktop PC for Designers with Intel Core i5 11th Generation/16GB DDR4 RAM/250GB NVME SSD Boot Drive/1TB Storage/Quadro T400 4GB and Windows 11 Home,"69,999",Only 2 left in stock.," Monday, August 8",7 Days Replacement,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00876441DB497B5N4Y30&url=%2FGoshawk-Renaissance-Desktop-Designers-Generation%2Fdp%2FB0B4KJHXDM%2Fref%3Dsr_1_12_sspa%3Fcrid%3DFL13G98MPJ90%26keywords%3Ddesktops%26qid%3D1659216137%26sprefix%3D%252Caps%252C249%26sr%3D8-12-spons%26psc%3D1&qualifier=1659216137&id=2455735797833718&widgetName=sp_mtf
12,Lenovo,"Lenovo IdeaCentre 3 Desktop (12th Gen Intel Core i5-12400/16GB/512GB SSD/Windows 11/MS Office 2021/Integrated UHD Graphics 730/WiFi 6/Bluetooth 5.2/Mineral Grey), 90SM009TIN","50,990",Available," Thursday, August 4",7 Days Replacement,Not Applicable,https://www.amazon.in/Lenovo-IdeaCentre-Integrated-Bluetooth-90SM009TIN/dp/B0B5XT7P8G/ref=sr_1_13?crid=FL13G98MPJ90&keywords=desktops&qid=1659216137&sprefix=%2Caps%2C249&sr=8-13
13,Lenovo,"Lenovo IdeaCentre A340 23.8-inch Full HD IPS All-in-One Desktop (Intel Core i3-10110U/8GB/512GB SSD/Windows 11/MS Office 2021/HD 720p Camera/Wireless Keyboard & Mouse/Black), F0E800Y7IN","48,990",Available," Monday, August 8",7 Days Replacement,Not Applicable,https://www.amazon.in/Lenovo-IdeaCentre-23-8-inch-i3-10110U-F0E800Y7IN/dp/B09RP5NV8C/ref=sr_1_14?crid=FL13G98MPJ90&keywords=desktops&qid=1659216137&sprefix=%2Caps%2C249&sr=8-14
14,(Renewed),"(Renewed) Dell Optiplex 380 17 inch (43.18 cms) Desktop (Core2Duo /8 GB RAM / 500 GB HDD/ Windows7 Pro, MS Office/Intel Hd Graphics 17 inches Monitor(1398 x 780)) Silver","15,998",Available," Sunday, August 7",7 Days Replacement,Not Applicable,https://www.amazon.in/Dell-Optiplex-Core2Duo-Windows7-Graphics/dp/B096TBKDLJ/ref=sr_1_15?crid=FL13G98MPJ90&keywords=desktops&qid=1659216137&sprefix=%2Caps%2C249&sr=8-15
15,ASUS,"ASUS ROG Strix GL10, 6 Cores Intel Core i5-10400F 10th Gen, Gaming Desktop (8GB/1TB HDD + 256GB SSD/4GB NVIDIA GeForce GTX 1650 Graphics/Windows 10/with Keyboard & Mouse/Gray/8 Kg), G10CE-51040F017T","66,990",Available," Friday, August 5",7 Days Replacement,Not Applicable,https://www.amazon.in/ASUS-i5-10400F-Graphics-Keyboard-G10CE-51040F017T/dp/B09Q3645YF/ref=sr_1_16?crid=FL13G98MPJ90&keywords=desktops&qid=1659216137&sprefix=%2Caps%2C249&sr=8-16
16,Lenovo,"Lenovo IdeaCentre AIO 3 21.5 inches Full HD IPS All-in-One Desktop (AMD Ryzen 3/8GB/1TB HDD/Windows 11/MS Office 2021/AMD Radeon Graphics/HD 720p Camera/Wired Keyboard, Mouse), Black (F0G6008AIN)","39,990",Available," Monday, August 8",7 Days Replacement,Not Applicable,https://www.amazon.in/Lenovo-IdeaCentre-Graphics-Keyboard-F0G6008AIN/dp/B0B5736SPS/ref=sr_1_17?crid=FL13G98MPJ90&keywords=desktops&qid=1659216137&sprefix=%2Caps%2C249&sr=8-17
