,Brand,Product Name,Price,Availability,Expected Delivery,Return Policy,Exchange,Product Url
0,Vfashion,Men's Football Design Roundneck Blue T-Shirt | 100% Cotton,₹499,Available,"Saturday, August 6",30 Days Returns & Exchange,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05038713HVFLQM8WIM7V&url=%2FVfashion-Football-Design-Roundneck-T-Shirt%2Fdp%2FB093BNQ6P1%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2QMZCI1TWAD8P%26keywords%3Dfootball%2Bt-shirts%26qid%3D1659207727%26sprefix%3D%252Caps%252C225%26sr%3D8-1-spons%26psc%3D1&qualifier=1659207727&id=2928327370543840&widgetName=sp_atf
1,Pooplu,"Mens Football Logo Cotton Printed Round Neck Half Sleeves Black & White Tshirt. Sports, Game, Football, Soccer Tees and Tshirts",₹649,Available,"Monday, 8 August",30 Days Returns & Exchange,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05892021H5IVSQMG75WC&url=%2FPooplu-Football-Printed-Sleeves-Black_Small%2Fdp%2FB07V6Q5MCV%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2QMZCI1TWAD8P%26keywords%3Dfootball%2Bt-shirts%26qid%3D1659207727%26sprefix%3D%252Caps%252C225%26sr%3D8-2-spons%26psc%3D1&qualifier=1659207727&id=2928327370543840&widgetName=sp_atf
2,Revind.442,Cristiano Ronaldo 'Life Without Football' Typography Men's 100% Cotton Round Neck T-Shirt,₹549,Available,"Monday, August 8",30 Days Returns & Exchange,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A027876717KEI4SPM829B&url=%2FRevind-442-Cristiano-Ronaldo-Football-Typography%2Fdp%2FB08HLN7J2V%2Fref%3Dsr_1_3_sspa%3Fcrid%3D2QMZCI1TWAD8P%26keywords%3Dfootball%2Bt-shirts%26qid%3D1659207727%26sprefix%3D%252Caps%252C225%26sr%3D8-3-spons%26psc%3D1&qualifier=1659207727&id=2928327370543840&widgetName=sp_atf
3,Sportyway,FCB Barcelona Football Kids New Jersey Set T-Shirt and Shorts,₹599,Available,-,Not Available,Not Applicable,https://www.amazon.in/Barcelona-Football-Jersey-T-Shirt-Multicolor/dp/B09PF1F92R/ref=sr_1_4?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207727&sprefix=%2Caps%2C225&sr=8-4
4,Vector X,VFS-002-A Mens/Adults Soccer/Football Set of Jersey and Shorts (Navy),₹490,Available," Friday, August 5",10 day Refund/Replacement,Not Applicable,https://www.amazon.in/Vector-Football-T-Shirt-Short-VFS-002/dp/B01MRN40XZ/ref=sr_1_5?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207727&sprefix=%2Caps%2C225&sr=8-5
5,Sportyway,PSG Paris Saint Germain Black Kids Messi 30 Football Jersey Set T-Shirt and Shorts,₹599,Available,-,Not Available,Not Applicable,https://www.amazon.in/Germain-Football-Jersey-T-Shirt-Shorts/dp/B09RX16XXJ/ref=sr_1_6?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207727&sprefix=%2Caps%2C225&sr=8-6
6,Amazon Brand - Symactive,Men's Regular T-Shirt,₹359,Available,-,Not Available,Not Applicable,https://www.amazon.in/Amazon-Brand-Symbol-T-Shirt-AW17-SYSP-03D_Large_Cobalt/dp/B071XCRMTR/ref=sr_1_7?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207727&sprefix=%2Caps%2C225&sr=8-7
7,Triumph,Full Sleeve Football Goalie Jersey for Men Green Goalkeeper T Shirt,"₹1,199",Available,-,Not Available,Not Applicable,https://www.amazon.in/Triumph-Replica-Soccer-Goalie-T-Shirts/dp/B08DRNBB6W/ref=sr_1_8?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207727&sprefix=%2Caps%2C225&sr=8-8
8,Inkholic,Men's Round Collar Football Jersey Multicolored INK1900,₹399,Available,-,Not Available,Not Applicable,https://www.amazon.in/Inkholic-Football-Multicolored-INK1900-X-Large/dp/B09RH2HH8G/ref=sr_1_9?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207727&sprefix=%2Caps%2C225&sr=8-9
9,Just rider,"Rider Compression T-Shirt, Top Full Sleeve Plain Athletic Fit Multi Sports Cycling, Cricket, Football, Badminton, Gym, Fitness & Other Outdoor Inner Wear",₹445,Available," Friday, August 5",10 day Refund/Replacement,Not Applicable,https://www.amazon.in/Compression-T-Shirt-Athletic-Football-Badminton/dp/B07HTLL9P5/ref=sr_1_10?crid=2QMZCI1TWAD8P&keywords=football+t-shirts&qid=1659207727&sprefix=%2Caps%2C225&sr=8-10
