,Brand,Product Name,Price(₹),Availability,Expected Delivery,Return Policy,Exchange,Product Url
0,Vault,Vault ST1 Premium Electric Guitar - Sunburst,"7,829",Only 1 left in stock.," Tuesday, August 9",7 Days Replacement,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0409978297FHSYXI0V9I&url=%2FVault-String-Electric-Guitar-Sunburst%2Fdp%2FB08F2173DC%2Fref%3Dsr_1_1_sspa%3Fcrid%3D39WIIFGVHNH47%26keywords%3Dguitars%26qid%3D1659376917%26sprefix%3D%252Caps%252C222%26sr%3D8-1-spons%26psc%3D1&qualifier=1659376917&id=4933130625134766&widgetName=sp_atf
1,Medellin,"Medellin 38"" Acoustic Guitar Carbon Fiber body+(Free Online Learning Course) - Durable Matt finish with handrest, strings, strap, bag, 3 Picks, capo, stand. (natural)","2,499",Available," Tuesday, August 9",7 Days Replacement,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A093834425X8CW6M8IIIL&url=%2FMedellin-carbn-guitar-38inch-NATURAL%2Fdp%2FB09MSHD6TS%2Fref%3Dsr_1_2_sspa%3Fcrid%3D39WIIFGVHNH47%26keywords%3Dguitars%26qid%3D1659376917%26sprefix%3D%252Caps%252C222%26sr%3D8-2-spons%26psc%3D1&qualifier=1659376917&id=4933130625134766&widgetName=sp_atf
2,Vault,Vault EA40 41 inch Premium Solid Spruce-Top Cutaway Acoustic Guitar,"7,659",Available," Saturday, August 6",7 Days Replacement,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09610753VGW0EUUEOMBV&url=%2FPremium-Spruce-Top-Cutaway-Acoustic-Guitar%2Fdp%2FB08FFZY6BJ%2Fref%3Dsr_1_3_sspa%3Fcrid%3D39WIIFGVHNH47%26keywords%3Dguitars%26qid%3D1659376917%26sprefix%3D%252Caps%252C222%26sr%3D8-3-spons%26psc%3D1&qualifier=1659376917&id=4933130625134766&widgetName=sp_atf
3,Kadence,"Kadence Guitar Acoustica Series, 41” Jumbo Size 6-strings Acoustic Guitar, Spruce body with Pick Guard A311 with bag","7,124",Available," Monday, August 8",7 Days Replacement,Not Applicable,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02055132SF64AM9MYQQ8&url=%2FKadence-6-strings-Acoustic-Guitar-Natural%2Fdp%2FB07JKYWGJN%2Fref%3Dsr_1_4_sspa%3Fcrid%3D39WIIFGVHNH47%26keywords%3Dguitars%26qid%3D1659376917%26sprefix%3D%252Caps%252C222%26sr%3D8-4-spons%26psc%3D1%26smid%3DAM04Z7MH4HSDD&qualifier=1659376917&id=4933130625134766&widgetName=sp_atf
4,Juârez,"Juârez Acoustic Guitar, 38 Inch Cutaway, 038C with Bag, Strings, Pick and Strap, Black","2,099",Available," Saturday, August 6",7 Days Replacement,Not Applicable,https://www.amazon.in/Juarez-Acoustic-Cutaway-038C-Strings/dp/B017NPCSLI/ref=sr_1_5?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-5
5,Intern,"Intern INT-38C Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Black","2,310",Available," Tuesday, August 9",7 Days Replacement,Not Applicable,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Black/dp/B073B6TQQY/ref=sr_1_6?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-6
6,Juarez,"Juarez Acoustic Guitar Kit, 38 Inch Cutaway, 38C with Bag, Strings, Pick and Strap, TBS Transparent Blue Sunburst","2,189",Available," Tuesday, August 9",7 Days Replacement,Not Applicable,https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Sunburst-Strings/dp/B01FYYTDS6/ref=sr_1_7?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-7
7,Fender,Fender CD 60 Dread V3 DS 6 String Acoustic Guitar - Walnut Fretboard-Black,"12,800",Available,"Monday, August 8",7 Days Replacement,Not Applicable,https://www.amazon.in/Fender-Dread-String-Acoustic-Guitar/dp/B07RM4B5LJ/ref=sxin_13?asc_contentid=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df%3Aamzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df&creativeASIN=B07RM4B5LJ&crid=39WIIFGVHNH47&cv_ct_cx=guitars&cv_ct_id=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=guitars&linkCode=oas&pd_rd_i=B07RM4B5LJ&pd_rd_r=f1a0d84f-d73d-4bd4-af60-a3a1977eb45b&pd_rd_w=28XUt&pd_rd_wg=HHqvW&pf_rd_p=9e10f444-3bae-445e-87e0-7b61ac6588df&pf_rd_r=YP3777RDPJVS3M8H2VXT&qid=1659376917&sprefix=%2Caps%2C222&sr=1-1-c84eb971-91f2-4a4d-acce-811265c24254&tag=sm-content-21
8,YAMAHA,"YAMAHA FS100C Rose Wood Acoustic Guitar, Natural","9,990",Available,"Monday, August 8",7 Days Replacement,Not Applicable,https://www.amazon.in/Yamaha-FS100C-Acoustic-Guitars-Natural/dp/B00QKD79QE/ref=sxin_13?asc_contentid=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df%3Aamzn1.sym.9e10f444-3bae-445e-87e0-7b61ac6588df&creativeASIN=B00QKD79QE&crid=39WIIFGVHNH47&cv_ct_cx=guitars&cv_ct_id=amzn1.osa.39dd7fbf-afb9-4b33-a89b-5dc1ff018d2f.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=guitars&linkCode=oas&pd_rd_i=B00QKD79QE&pd_rd_r=f1a0d84f-d73d-4bd4-af60-a3a1977eb45b&pd_rd_w=28XUt&pd_rd_wg=HHqvW&pf_rd_p=9e10f444-3bae-445e-87e0-7b61ac6588df&pf_rd_r=YP3777RDPJVS3M8H2VXT&qid=1659376917&sprefix=%2Caps%2C222&sr=1-2-c84eb971-91f2-4a4d-acce-811265c24254&tag=sm-content-21
9,Juarez,"Juarez Acoustic Guitar, 38 Inch Curved Body Cutaway, 38CUR with Bag, Strings, Pick and Strap, Black","2,639",Available," Sunday, August 7",7 Days Replacement,Not Applicable,https://www.amazon.in/Juarez-Acoustic-Guitar-Cutaway-Strings/dp/B076QHZ4HZ/ref=sr_1_8?crid=39WIIFGVHNH47&keywords=guitars&qid=1659376917&sprefix=%2Caps%2C222&sr=8-8
