,Brand,Product Name,Price(₹),Availability,Expected Delivery,Return Policy,Exchange,Product Url
0,AmazonBasics,AmazonBasics 564 L Side-by-Side Door Refrigerator (Black Glass Door),"54,999",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06883431Y29ZDMX0DB0S&url=%2FAmazonBasics-Frost-Side-Refrigerator-Dispenser%2Fdp%2FB07R9NJCVZ%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1MOS9MN9NX5UF%26keywords%3Drefrigerator%26qid%3D1659372597%26sprefix%3D%252Caps%252C395%26sr%3D8-1-spons%26psc%3D1&qualifier=1659372597&id=2978823883127205&widgetName=sp_atf
1,Godrej,"Godrej 185 L 2 Star Direct Cool Single Door Refrigerator (RD EDGE 200B 23 WRF PL PR, Pearl Purple, Large Vegetable Tray)","12,390",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08166142L9WNG96V41AV&url=%2FGodrej-Direct-Single-Refrigerator-Vegetable%2Fdp%2FB0B1JK7RJ4%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1MOS9MN9NX5UF%26keywords%3Drefrigerator%26qid%3D1659372597%26sprefix%3D%252Caps%252C395%26sr%3D8-2-spons%26psc%3D1&qualifier=1659372597&id=2978823883127205&widgetName=sp_atf
2,Samsung,"Samsung 192 L 2 Star Direct Cool Single Door Refrigerator (RR19A241BGS/NL, Grey Silver)","13,190",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Samsung-Direct-Refrigerator-RR19A241BGS-NL/dp/B08SC2ZTDP/ref=sr_1_3?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372597&sprefix=%2Caps%2C395&sr=8-3
3,LG,"LG 190L 5 Star Direct-Cool Smart Inverter Single Door Refrigerator (GL-D201ASPZ, Scarlet Plumeria, Base stand with drawer)","17,690",Available," Mon, 8 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/LG-Direct-Cool-Inverter-Refrigerator-GL-D201ASPZ/dp/B0999S3MD4/ref=sr_1_omk_4?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372597&sprefix=%2Caps%2C395&sr=8-4
4,Samsung,"Samsung 198 L 4 Star Inverter Direct-Cool Single Door Refrigerator (RR21T2H2XCR/HL, Camellia Purple, Base Stand with Drawer)","16,750",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Samsung-Direct-Cool-Refrigerator-RR21T2H2XCR-HL/dp/B08446154L/ref=sr_1_5?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372597&sprefix=%2Caps%2C395&sr=8-5
5,LG,"LG 260L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)","25,290",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/LG-Inverter-Frost-Free-Refrigerator-GL-I292RPZX/dp/B08X72GY5Q/ref=sr_1_6?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372597&sprefix=%2Caps%2C395&sr=8-6
6,Samsung,"Samsung 253 L 3 Star with Inverter Double Door Refrigerator (RT28A3453S8/HL, Elegant Inox)","24,490",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Samsung-Inverter-Refrigerator-RT28A3453S8-HL/dp/B08SBSL8Y2/ref=sr_1_7?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372597&sprefix=%2Caps%2C395&sr=8-7
7,Samsung,"Samsung 192 L 3 Star Inverter Direct-Cool Single Door Refrigerator (RR20T172YS8/HL, Elegant Inox)","15,190",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Samsung-Direct-Cool-Refrigerator-RR20T172YS8-HL/dp/B08346JDBY/ref=sr_1_8?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372597&sprefix=%2Caps%2C395&sr=8-8
8,Candy,"Candy 170 L 2 Star Direct-Cool Single Door Refrigerator (CDSD522170MS, Moon Silver)","10,790",Available," Mon, 8 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Candy-Direct-Cool-Single-Refrigerator-CDSD522170MS/dp/B08Z7CTKQG/ref=sr_1_9?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372597&sprefix=%2Caps%2C395&sr=8-9
9,Godrej,"Godrej 185 L 2 Star Direct Cool Single Door Refrigerator (RD EDGE 200B 23 WRF PL PR, Pearl Purple, Large Vegetable Tray)","12,390",Available," Wed, 3 Aug, 7:00 am - 9:00 pm","10 days, Replacement Only","Yes, Upto Rs.1,500.00 off",https://www.amazon.in/Godrej-Direct-Single-Refrigerator-Vegetable/dp/B0B1JK7RJ4/ref=sr_1_10?crid=1MOS9MN9NX5UF&keywords=refrigerator&qid=1659372597&sprefix=%2Caps%2C395&sr=8-10
