Brand,Product Name,Color,RAM,ROM,Primary Camera,Secondary Camera,Display,Battery,Price,url
ASUS,ASUS ZenFone Max M2 ,Black,3 GB RAM , 32 GB ROM ,13MP + 2MP , 8MP Front Camera,15.9 cm (6.26 inch) HD+ Display,4000 mAh Battery,"₹12,549",https://www.flipkart.com/asus-zenfone-max-m2-black-32-gb/p/itmfb22grnygzfy5?pid=MOBFB22G2QB87BZZ&lid=LSTMOBFB22G2QB87BZZCRZP5M&marketplace=FLIPKART&q=asus+zenfone&store=search.flipkart.com%2Ftyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=ff0af38e-1f54-495f-ab78-ccb1bc688558.MOBFB22G2QB87BZZ.SEARCH&ppt=hp&ppn=homepage&ssid=iyal3ip1ds0000001659371052676&qH=0cd06db34fd5061b
ASUS,ASUS ZenFone Max Pro M2 ,Blue,3 GB RAM , 32 GB ROM ,12MP + 5MP , 13MP Front Camera,15.9 cm (6.26 inch) Full HD+ Display,5000 mAh Battery,"₹15,999",https://www.flipkart.com/asus-zenfone-max-pro-m2-blue-32-gb/p/itmfb22gjfzty4am?pid=MOBFB22GBSBNYM9Y&lid=LSTMOBFB22GBSBNYM9Y2XHRPS&marketplace=FLIPKART&q=asus+zenfone&store=search.flipkart.com%2Ftyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=ff0af38e-1f54-495f-ab78-ccb1bc688558.MOBFB22GBSBNYM9Y.SEARCH&ppt=hp&ppn=homepage&ssid=iyal3ip1ds0000001659371052676&qH=0cd06db34fd5061b
ASUS,ASUS ZenFone Max M2 ,Black,4 GB RAM , 64 GB ROM ,13MP + 2MP , 8MP Front Camera,15.9 cm (6.26 inch) HD+ Display,4000 mAh Battery,"₹14,999",https://www.flipkart.com/asus-zenfone-max-m2-black-64-gb/p/itmfb22gcq5detk3?pid=MOBFB22GF3VVPZZE&lid=LSTMOBFB22GF3VVPZZEEBTREC&marketplace=FLIPKART&q=asus+zenfone&store=search.flipkart.com%2Ftyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=ff0af38e-1f54-495f-ab78-ccb1bc688558.MOBFB22GF3VVPZZE.SEARCH&ppt=hp&ppn=homepage&ssid=iyal3ip1ds0000001659371052676&qH=0cd06db34fd5061b
ASUS,ASUS ZenFone 5Z ,Meteor Silver,8 GB RAM , 256 GB ROM ,12MP + 8MP , 8MP Front Camera,15.75 cm (6.2 inch) Full HD+ Display,3300 mAh Battery,"₹43,999",https://www.flipkart.com/asus-zenfone-5z-meteor-silver-256-gb/p/itmf6h76zwwwf7ga?pid=MOBF6H76MQEATFRE&lid=LSTMOBF6H76MQEATFREW2EMGF&marketplace=FLIPKART&q=asus+zenfone&store=search.flipkart.com%2Ftyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=ff0af38e-1f54-495f-ab78-ccb1bc688558.MOBF6H76MQEATFRE.SEARCH&ppt=hp&ppn=homepage&ssid=iyal3ip1ds0000001659371052676&qH=0cd06db34fd5061b
ASUS,ASUS Zenfone 4 Selfie ,Black,3 GB RAM , 32 GB ROM ,13MP Rear Camera , 13MP Front Camera,13.97 cm (5.5 inch) HD Display,3000 mAh Battery,"₹10,999",https://www.flipkart.com/asus-zenfone-4-selfie-black-32-gb/p/itmexpyeuxahpqum?pid=MOBEWPZFNAVKRMBR&lid=LSTMOBEWPZFNAVKRMBRBLZCQE&marketplace=FLIPKART&q=asus+zenfone&store=search.flipkart.com%2Ftyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=ff0af38e-1f54-495f-ab78-ccb1bc688558.MOBEWPZFNAVKRMBR.SEARCH&ppt=hp&ppn=homepage&ssid=iyal3ip1ds0000001659371052676&qH=0cd06db34fd5061b
ASUS,ASUS Zenfone Max Pro M1 ,Grey,6 GB RAM , 64 GB ROM ,16MP + 5MP , 16MP Front Camera,15.21 cm (5.99 inch) Full HD+ Display,5000 mAh Battery,"₹17,999",https://www.flipkart.com/asus-zenfone-max-pro-m1-grey-64-gb/p/itmf79gxzkfg7tqk?pid=MOBF4UQ9KTEQKQZE&lid=LSTMOBF4UQ9KTEQKQZEZ97O9Q&marketplace=FLIPKART&q=asus+zenfone&store=search.flipkart.com%2Ftyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=ff0af38e-1f54-495f-ab78-ccb1bc688558.MOBF4UQ9KTEQKQZE.SEARCH&ppt=hp&ppn=homepage&ssid=iyal3ip1ds0000001659371052676&qH=0cd06db34fd5061b
ASUS,ASUS ZenFone Max M2 ,Blue,3 GB RAM , 32 GB ROM ,13MP + 2MP , 8MP Front Camera,15.9 cm (6.26 inch) HD+ Display,4000 mAh Battery,"₹12,549",https://www.flipkart.com/asus-zenfone-max-m2-blue-32-gb/p/itmfb22ghjtyxzg6?pid=MOBFB22GCGFSFMJB&lid=LSTMOBFB22GCGFSFMJBRGP0KW&marketplace=FLIPKART&q=asus+zenfone&store=search.flipkart.com%2Ftyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=ff0af38e-1f54-495f-ab78-ccb1bc688558.MOBFB22GCGFSFMJB.SEARCH&ppt=hp&ppn=homepage&ssid=iyal3ip1ds0000001659371052676&qH=0cd06db34fd5061b
ASUS,ASUS Zenfone Max Pro M1 ,Blue,4 GB RAM , 64 GB ROM ,13MP + 5MP , 8MP Front Camera,15.21 cm (5.99 inch) Full HD+ Display,5000 mAh Battery,"₹15,599",https://www.flipkart.com/asus-zenfone-max-pro-m1-blue-64-gb/p/itmf7gcrdmjh97cv?pid=MOBF7GCRGR2S78XN&lid=LSTMOBF7GCRGR2S78XNWOWSKX&marketplace=FLIPKART&q=asus+zenfone&store=search.flipkart.com%2Ftyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=ff0af38e-1f54-495f-ab78-ccb1bc688558.MOBF7GCRGR2S78XN.SEARCH&ppt=hp&ppn=homepage&ssid=iyal3ip1ds0000001659371052676&qH=0cd06db34fd5061b
ASUS,ASUS Zenfone Max Pro M1 ,Grey,4 GB RAM , 64 GB ROM ,13MP + 5MP , 8MP Front Camera,15.21 cm (5.99 inch) Full HD+ Display,5000 mAh Battery,"₹15,599",https://www.flipkart.com/asus-zenfone-max-pro-m1-grey-64-gb/p/itmf4hg4bhbbng96?pid=MOBF3A8USX5NWRYE&lid=LSTMOBF3A8USX5NWRYEPQQNQR&marketplace=FLIPKART&q=asus+zenfone&store=search.flipkart.com%2Ftyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=ff0af38e-1f54-495f-ab78-ccb1bc688558.MOBF3A8USX5NWRYE.SEARCH&ppt=hp&ppn=homepage&ssid=iyal3ip1ds0000001659371052676&qH=0cd06db34fd5061b
ASUS,ASUS Zenfone Max Pro M1 ,Blue,6 GB RAM , 64 GB ROM ,16MP + 5MP , 16MP Front Camera,15.21 cm (5.99 inch) Full HD+ Display,5000 mAh Battery,"₹17,999",https://www.flipkart.com/asus-zenfone-max-pro-m1-blue-64-gb/p/itmf7gcrfnyjmuvu?pid=MOBF7GCRDEKRXQZZ&lid=LSTMOBF7GCRDEKRXQZZWXEPUM&marketplace=FLIPKART&q=asus+zenfone&store=search.flipkart.com%2Ftyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=ff0af38e-1f54-495f-ab78-ccb1bc688558.MOBF7GCRDEKRXQZZ.SEARCH&ppt=hp&ppn=homepage&ssid=iyal3ip1ds0000001659371052676&qH=0cd06db34fd5061b
