Brand,Product Name,Color,RAM,ROM,Primary Camera,Secondary Camera,Display,Battery,Price,url
OnePlus,OnePlus Nord CE 2 Lite 5G ,Blue Tide,6 GB RAM , 128 GB ROM,64MP Rear Camera , 16MP Front Camera,16.74 cm (6.59 inch) Display,5000 mAh Battery,"₹19,698",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGDWFJFBKYTEGP&lid=LSTMOBGDWFJFBKYTEGP2WABIS&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=61581b7f-769a-4d9b-9252-04c25d144bd0.MOBGDWFJFBKYTEGP.SEARCH&ppt=hp&ppn=homepage&ssid=vxofjone7k0000001659254643624&qH=e8b736bf4fa84421
OnePlus,OnePlus Nord 2 5G ,Gray Sierra,8 GB RAM , 128 GB ROM,['50MP Rear Camera'],-,16.33 cm (6.43 inch) Display,4500 mAh Battery,"₹29,998",https://www.flipkart.com/oneplus-nord-2-5g-gray-sierra-128-gb/p/itmc88e4a702db46?pid=MOBGDBFFA5EGECHQ&lid=LSTMOBGDBFFA5EGECHQGJHB7H&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=61581b7f-769a-4d9b-9252-04c25d144bd0.MOBGDBFFA5EGECHQ.SEARCH&ppt=hp&ppn=homepage&ssid=vxofjone7k0000001659254643624&qH=e8b736bf4fa84421
OnePlus,OnePlus Nord CE 2 Lite 5G ,Black Dusk,8 GB RAM , 128 GB ROM,['64MP Rear Camera'],-,16.74 cm (6.59 inch) Display,5000 mAh Battery,"₹21,999",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm7acae55b999e6?pid=MOBGDWFEAHHTW8CF&lid=LSTMOBGDWFEAHHTW8CFP5EPYZ&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=61581b7f-769a-4d9b-9252-04c25d144bd0.MOBGDWFEAHHTW8CF.SEARCH&ppt=hp&ppn=homepage&ssid=vxofjone7k0000001659254643624&qH=e8b736bf4fa84421
OnePlus,OnePlus Nord 2T 5G ,Jade Fog,8 GB RAM , 128 GB ROM,['50MP Rear Camera'],-,17.02 cm (6.7 inch) Display,4500 mAh Battery,"₹28,990",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-128-gb/p/itm97eda8b1a1566?pid=MOBGFX6MGJWZMRWR&lid=LSTMOBGFX6MGJWZMRWRSZPI0W&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=61581b7f-769a-4d9b-9252-04c25d144bd0.MOBGFX6MGJWZMRWR.SEARCH&ppt=hp&ppn=homepage&ssid=vxofjone7k0000001659254643624&qH=e8b736bf4fa84421
OnePlus,OnePlus Nord CE 2 Lite 5G ,Black Dusk,6 GB RAM , 128 GB ROM,['64MP Rear Camera'],-,16.74 cm (6.59 inch) Display,5000 mAh Battery,"₹19,900",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm7acae55b999e6?pid=MOBGDWF8GJTFAXVH&lid=LSTMOBGDWF8GJTFAXVHDIFU0B&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=61581b7f-769a-4d9b-9252-04c25d144bd0.MOBGDWF8GJTFAXVH.SEARCH&ppt=hp&ppn=homepage&ssid=vxofjone7k0000001659254643624&qH=e8b736bf4fa84421
OnePlus,OnePlus Nord 2T 5G ,Jade Fog,12 GB RAM , 256 GB ROM,['50MP Rear Camera'],-,17.02 cm (6.7 inch) Display,4500 mAh Battery,"₹33,999",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-256-gb/p/itm97eda8b1a1566?pid=MOBGFX6PB4EGYBW8&lid=LSTMOBGFX6PB4EGYBW83JUOPX&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=61581b7f-769a-4d9b-9252-04c25d144bd0.MOBGFX6PB4EGYBW8.SEARCH&ppt=hp&ppn=homepage&ssid=vxofjone7k0000001659254643624&qH=e8b736bf4fa84421
OnePlus,OnePlus Nord CE 5G ,Charcoal Ink,12 GB RAM , 256 GB ROM,['64MP Rear Camera'],-,16.33 cm (6.43 inch) Display,4500 mAh Battery,"₹27,900",https://www.flipkart.com/oneplus-nord-ce-5g-charcoal-ink-256-gb/p/itmd6dcbd8116ed1?pid=MOBGDM4JGS4AUQRN&lid=LSTMOBGDM4JGS4AUQRN4VNNUL&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=61581b7f-769a-4d9b-9252-04c25d144bd0.MOBGDM4JGS4AUQRN.SEARCH&ppt=hp&ppn=homepage&ssid=vxofjone7k0000001659254643624&qH=e8b736bf4fa84421
OnePlus,OnePlus Nord CE 2 5G ,Bahama Blue,6 GB RAM , 128 GB ROM,['64MP Rear Camera'],-,16.33 cm (6.43 inch) Display,4500 mAh Battery,"₹23,990",https://www.flipkart.com/oneplus-nord-ce-2-5g-bahama-blue-128-gb/p/itm2a9883679c57c?pid=MOBGDBYZ2HVZAHZD&lid=LSTMOBGDBYZ2HVZAHZDNFSYEG&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=61581b7f-769a-4d9b-9252-04c25d144bd0.MOBGDBYZ2HVZAHZD.SEARCH&ppt=hp&ppn=homepage&ssid=vxofjone7k0000001659254643624&qH=e8b736bf4fa84421
OnePlus,OnePlus Nord CE 2 5G ,Bahama Blue,8 GB RAM , 128 GB ROM,['64MP Rear Camera'],-,16.33 cm (6.43 inch) Display,4500 mAh Battery,"₹24,999",https://www.flipkart.com/oneplus-nord-ce-2-5g-bahama-blue-128-gb/p/itm2a9883679c57c?pid=MOBGDBYGG6PPNFD9&lid=LSTMOBGDBYGG6PPNFD9OL88GM&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=61581b7f-769a-4d9b-9252-04c25d144bd0.MOBGDBYGG6PPNFD9.SEARCH&ppt=hp&ppn=homepage&ssid=vxofjone7k0000001659254643624&qH=e8b736bf4fa84421
OnePlus,OnePlus Nord 2 5G ,Blue Haze,8 GB RAM , 128 GB ROM,['50MP Rear Camera'],-,16.33 cm (6.43 inch) Display,4500 mAh Battery,"₹29,125",https://www.flipkart.com/oneplus-nord-2-5g-blue-haze-128-gb/p/itmc88e4a702db46?pid=MOBGDBFJXFJPVWKA&lid=LSTMOBGDBFJXFJPVWKAQG6NJY&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=61581b7f-769a-4d9b-9252-04c25d144bd0.MOBGDBFJXFJPVWKA.SEARCH&ppt=hp&ppn=homepage&ssid=vxofjone7k0000001659254643624&qH=e8b736bf4fa84421
OnePlus,OnePlus Nord ,Gray Onyx,12 GB RAM , 256 GB ROM,48MP + 8MP , 32MP + 8MP Dual Front Camera,16.36 cm (6.44 inch) Full HD+ Display,4115 mAh Battery,"₹29,999",https://www.flipkart.com/oneplus-nord-gray-onyx-256-gb/p/itm49f817b591982?pid=MOBFUE5GGWHFC37J&lid=LSTMOBFUE5GGWHFC37JNXZLYZ&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=61581b7f-769a-4d9b-9252-04c25d144bd0.MOBFUE5GGWHFC37J.SEARCH&ppt=hp&ppn=homepage&ssid=vxofjone7k0000001659254643624&qH=e8b736bf4fa84421
OnePlus,OnePlus Nord ,Blue Marble,12 GB RAM , 256 GB ROM,48MP + 8MP , 32MP + 8MP Dual Front Camera,16.36 cm (6.44 inch) Full HD+ Display,4115 mAh Battery,"₹29,999",https://www.flipkart.com/oneplus-nord-blue-marble-256-gb/p/itm49f817b591982?pid=MOBFUE5HUU5ZYGRY&lid=LSTMOBFUE5HUU5ZYGRY4ZWZZN&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=61581b7f-769a-4d9b-9252-04c25d144bd0.MOBFUE5HUU5ZYGRY.SEARCH&ppt=hp&ppn=homepage&ssid=vxofjone7k0000001659254643624&qH=e8b736bf4fa84421
OnePlus,OnePlus Nord ,Blue Marble,8 GB RAM , 128 GB ROM,48MP + 8MP , 32MP + 8MP Dual Front Camera,16.36 cm (6.44 inch) Full HD+ Display,4115 mAh Battery,"₹27,999",https://www.flipkart.com/oneplus-nord-blue-marble-128-gb/p/itm49f817b591982?pid=MOBFUE5JWYDZX6HX&lid=LSTMOBFUE5JWYDZX6HXJZSHIV&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=61581b7f-769a-4d9b-9252-04c25d144bd0.MOBFUE5JWYDZX6HX.SEARCH&ppt=hp&ppn=homepage&ssid=vxofjone7k0000001659254643624&qH=e8b736bf4fa84421
OnePlus,OnePlus Nord ,Blue Marble,6 GB RAM , 64 GB ROM,48MP + 8MP , 32MP + 8MP Dual Front Camera,16.36 cm (6.44 inch) Full HD+ Display,4115 mAh Battery,"₹24,999",https://www.flipkart.com/oneplus-nord-blue-marble-64-gb/p/itm49f817b591982?pid=MOBFUE5N7KAGZHHC&lid=LSTMOBFUE5N7KAGZHHC6NVUQL&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=61581b7f-769a-4d9b-9252-04c25d144bd0.MOBFUE5N7KAGZHHC.SEARCH&ppt=hp&ppn=homepage&ssid=vxofjone7k0000001659254643624&qH=e8b736bf4fa84421
OnePlus,OnePlus Nord ,Gray Onyx,6 GB RAM , 64 GB ROM,48MP + 8MP , 32MP + 8MP Dual Front Camera,16.36 cm (6.44 inch) Full HD+ Display,4115 mAh Battery,"₹24,999",https://www.flipkart.com/oneplus-nord-gray-onyx-64-gb/p/itm49f817b591982?pid=MOBFUE5H57THFNVJ&lid=LSTMOBFUE5H57THFNVJSYCAHJ&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=61581b7f-769a-4d9b-9252-04c25d144bd0.MOBFUE5H57THFNVJ.SEARCH&ppt=hp&ppn=homepage&ssid=vxofjone7k0000001659254643624&qH=e8b736bf4fa84421
OnePlus,OnePlus Nord ,Gray Onyx,8 GB RAM , 128 GB ROM,48MP + 8MP , 32MP + 8MP Dual Front Camera,16.36 cm (6.44 inch) Full HD+ Display,4115 mAh Battery,"₹27,999",https://www.flipkart.com/oneplus-nord-gray-onyx-128-gb/p/itm49f817b591982?pid=MOBFUE5HW4XUUGBN&lid=LSTMOBFUE5HW4XUUGBNMZB8TR&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=61581b7f-769a-4d9b-9252-04c25d144bd0.MOBFUE5HW4XUUGBN.SEARCH&ppt=hp&ppn=homepage&ssid=vxofjone7k0000001659254643624&qH=e8b736bf4fa84421
OnePlus,OnePlus Nord 2T 5G ,Gray Shadow,12 GB RAM , 256 GB ROM,['50MP Rear Camera'],-,17.02 cm (6.7 inch) Display,4500 mAh Battery,"₹31,999",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-256-gb/p/itm97eda8b1a1566?pid=MOBGFX6GFUSXWRQN&lid=LSTMOBGFX6GFUSXWRQNIHY5M5&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=61581b7f-769a-4d9b-9252-04c25d144bd0.MOBGFX6GFUSXWRQN.SEARCH&ppt=hp&ppn=homepage&ssid=vxofjone7k0000001659254643624&qH=e8b736bf4fa84421
OnePlus,OnePlus Nord CE 2 5G ,Gray Mirror,6 GB RAM , 128 GB ROM,['64MP Rear Camera'],-,16.33 cm (6.43 inch) Display,4500 mAh Battery,"₹23,990",https://www.flipkart.com/oneplus-nord-ce-2-5g-gray-mirror-128-gb/p/itm2a9883679c57c?pid=MOBGDBYUNZZ2ZKFM&lid=LSTMOBGDBYUNZZ2ZKFMJAJL9X&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=61581b7f-769a-4d9b-9252-04c25d144bd0.MOBGDBYUNZZ2ZKFM.SEARCH&ppt=hp&ppn=homepage&ssid=vxofjone7k0000001659254643624&qH=e8b736bf4fa84421
OnePlus,OnePlus Nord 2 5G ,Gray Sierra,12 GB RAM , 256 GB ROM,['50MP Rear Camera'],-,16.33 cm (6.43 inch) Display,4500 mAh Battery,"₹34,990",https://www.flipkart.com/oneplus-nord-2-5g-gray-sierra-256-gb/p/itmc88e4a702db46?pid=MOBGDBFRAPSY7GFZ&lid=LSTMOBGDBFRAPSY7GFZTECCRK&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=61581b7f-769a-4d9b-9252-04c25d144bd0.MOBGDBFRAPSY7GFZ.SEARCH&ppt=hp&ppn=homepage&ssid=vxofjone7k0000001659254643624&qH=e8b736bf4fa84421
OnePlus,OnePlus Nord 2 5G ,Green Wood,12 GB RAM , 256 GB ROM,['50MP Rear Camera'],-,16.33 cm (6.43 inch) Display,4500 mAh Battery,"₹34,999",https://www.flipkart.com/oneplus-nord-2-5g-green-wood-256-gb/p/itmc88e4a702db46?pid=MOBGE7D9U2RVQPH7&lid=LSTMOBGE7D9U2RVQPH7FAO1OO&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=61581b7f-769a-4d9b-9252-04c25d144bd0.MOBGE7D9U2RVQPH7.SEARCH&ppt=hp&ppn=homepage&ssid=vxofjone7k0000001659254643624&qH=e8b736bf4fa84421
OnePlus,OnePlus Nord 2 5G ,PAC-MAN,12 GB RAM , 256 GB ROM,['50MP Rear Camera'],-,16.33 cm (6.43 inch) Display,4500 mAh Battery,"₹36,990",https://www.flipkart.com/oneplus-nord-2-5g-pac-man-256-gb/p/itmc88e4a702db46?pid=MOBGEYH6EJGAWMFT&lid=LSTMOBGEYH6EJGAWMFTQWAYZF&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=61581b7f-769a-4d9b-9252-04c25d144bd0.MOBGEYH6EJGAWMFT.SEARCH&ppt=hp&ppn=homepage&ssid=vxofjone7k0000001659254643624&qH=e8b736bf4fa84421
OnePlus,OnePlus Nord CE 2 Lite 5G ,Blue Tide,8 GB RAM , 128 GB ROM,['64MP Rear Camera'],-,16.74 cm (6.59 inch) Display,5000 mAh Battery,"₹21,849",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGDY3QRGSPCZW3&lid=LSTMOBGDY3QRGSPCZW3KKZ5DE&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=61581b7f-769a-4d9b-9252-04c25d144bd0.MOBGDY3QRGSPCZW3.SEARCH&ppt=hp&ppn=homepage&ssid=vxofjone7k0000001659254643624&qH=e8b736bf4fa84421
OnePlus,OnePlus Nord CE 5G ,Blue Void,8 GB RAM , 128 GB ROM,['64MP Rear Camera'],-,16.33 cm (6.43 inch) Display,4500 mAh Battery,"₹24,900",https://www.flipkart.com/oneplus-nord-ce-5g-blue-void-128-gb/p/itmd6dcbd8116ed1?pid=MOBGDM4UUD2FDBPH&lid=LSTMOBGDM4UUD2FDBPHUB4GWW&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=61581b7f-769a-4d9b-9252-04c25d144bd0.MOBGDM4UUD2FDBPH.SEARCH&ppt=hp&ppn=homepage&ssid=vxofjone7k0000001659254643624&qH=e8b736bf4fa84421
