Brand,Product Name,Color,RAM,ROM,Primary Camera,Secondary Camera,Display,Battery,Price,url
REDMI,REDMI Note 11T 5G ,Aquamarine Blue,6 GB RAM , 128 GB ROM,['50MP Rear Camera'],-,16.76 cm (6.6 inch) Display,5000 mAh Battery,"₹16,785",https://www.flipkart.com/redmi-note-11t-5g-aquamarine-blue-128-gb/p/itm0dd08e65983e7?pid=MOBG9G3W5TBBXNTK&lid=LSTMOBG9G3W5TBBXNTKJC3NBW&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBG9G3W5TBBXNTK.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 11 ,Horizon Blue,6 GB RAM , 128 GB ROM,['50MP Rear Camera'],-,16.33 cm (6.43 inch) Display,5000 mAh Battery,"₹15,290",https://www.flipkart.com/redmi-note-11-horizon-blue-128-gb/p/itm2a388ca843b21?pid=MOBGBGAMRJGHTKUM&lid=LSTMOBGBGAMRJGHTKUM2ZZ78G&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBGBGAMRJGHTKUM.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
REDMI,REDMI Note 11T 5G ,Matte black,8 GB RAM , 128 GB ROM,['50MP Rear Camera'],-,16.76 cm (6.6 inch) Display,5000 mAh Battery,"₹17,740",https://www.flipkart.com/redmi-note-11t-5g-matte-black-128-gb/p/itm0dd08e65983e7?pid=MOBG9G5UBHV9HC8Y&lid=LSTMOBG9G5UBHV9HC8Y5CACTQ&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBG9G5UBHV9HC8Y.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 11 ,Space Black,4 GB RAM , 64 GB ROM ,50MP + 8MP + 2MP + 2MP , 13MP Front Camera,16.33 cm (6.43 inch) Full HD+ Display,5000 mAh Battery,"₹12,720",https://www.flipkart.com/redmi-note-11-space-black-64-gb/p/itm2a388ca843b21?pid=MOBGBHCHRPUQY9AT&lid=LSTMOBGBHCHRPUQY9ATADOG1W&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBGBHCHRPUQY9AT.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 11 ,Space Black,6 GB RAM , 128 GB ROM,['50MP Rear Camera'],-,16.33 cm (6.43 inch) Display,5000 mAh Battery,"₹15,582",https://www.flipkart.com/redmi-note-11-space-black-128-gb/p/itm2a388ca843b21?pid=MOBGBHCK9HJQZNBK&lid=LSTMOBGBHCK9HJQZNBK3BCNLW&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBGBHCK9HJQZNBK.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 11 ,Space Black,6 GB RAM , 64 GB ROM,['50MP Rear Camera'],-,16.33 cm (6.43 inch) Display,5000 mAh Battery,"₹13,369",https://www.flipkart.com/redmi-note-11-space-black-64-gb/p/itm2a388ca843b21?pid=MOBGBHCKZNYYG5QA&lid=LSTMOBGBHCKZNYYG5QAQ7G5NW&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBGBHCKZNYYG5QA.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 11 ,Horizon Blue,4 GB RAM , 64 GB ROM ,50MP + 8MP + 2MP + 2MP , 13MP Front Camera,16.33 cm (6.43 inch) Full HD+ Display,5000 mAh Battery,"₹12,314",https://www.flipkart.com/redmi-note-11-horizon-blue-64-gb/p/itm2a388ca843b21?pid=MOBGBGAETVKA2NEZ&lid=LSTMOBGBGAETVKA2NEZQKREQ9&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBGBGAETVKA2NEZ.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
REDMI,REDMI Note 11T 5G ,Stardust White,8 GB RAM , 128 GB ROM,['50MP Rear Camera'],-,16.76 cm (6.6 inch) Display,5000 mAh Battery,"₹17,797",https://www.flipkart.com/redmi-note-11t-5g-stardust-white-128-gb/p/itm0dd08e65983e7?pid=MOBG9G6YVZYQY7ZZ&lid=LSTMOBG9G6YVZYQY7ZZMYHFMU&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBG9G6YVZYQY7ZZ.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
REDMI,REDMI Note 11T 5G ,Stardust White,6 GB RAM , 128 GB ROM,['50MP Rear Camera'],-,16.76 cm (6.6 inch) Display,5000 mAh Battery,"₹15,492",https://www.flipkart.com/redmi-note-11t-5g-stardust-white-128-gb/p/itm0dd08e65983e7?pid=MOBG9G37CUVZYMTW&lid=LSTMOBG9G37CUVZYMTWOXKVHU&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBG9G37CUVZYMTW.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
Redmi,Redmi Note 11 PRO Plus 5G ,Stealth Black,8 GB RAM , 128 GB ROM,['108MP Rear Camera'],-,16.94 cm (6.67 inch) Display,5000 mAh Battery,"₹22,966",https://www.flipkart.com/redmi-note-11-pro-plus-5g-stealth-black-128-gb/p/itmd029928dc2e7e?pid=MOBGCQRYPFFZE9GA&lid=LSTMOBGCQRYPFFZE9GATOZRMS&marketplace=FLIPKART&q=redmi+note&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=ff64c6f7-4119-4409-a755-3480e9d88cf7.MOBGCQRYPFFZE9GA.SEARCH&ppt=hp&ppn=homepage&ssid=dnbn3bvqsw0000001659075920283&qH=0a8630c62852d4bf
